Year_Week,Week_End_Total_Capital,Weekly_Net_Return_%,Weekly_Profit,Trade_Count,Best_Trade_Ret_%,Best_Trade_Time,Best_Trade_Type,Best_Trade_Signal,Worst_Trade_Ret_%,Worst_Trade_Time,Worst_Trade_Type,Worst_Trade_Signal
2026-W04,112993.45562598608,-5.83878697834493,-7006.544374013916,394,63.74464226900258,2026-01-26 13:44:00,Close_Next_Day_EOD,SHORT,-10.066801406697264,2026-01-29 09:06:00,Stop_Loss,SHORT
2026-W05,529032.378398754,368.1973619338427,416038.92277276795,467,125.74552468741255,2026-02-02 13:31:00,Close_Next_Day_EOD,SHORT,-12.828763890386046,2026-02-02 08:56:00,Stop_Loss,SHORT
2026-W06,801462.9108037679,51.49600355834391,272430.5324050138,242,127.13088403701957,2026-02-09 13:28:00,Close_Next_Day_EOD,SHORT,-7.836338932834693,2026-02-09 08:59:00,Stop_Loss,SHORT
2026-W08,3369953.2729094625,320.47526185956843,2568490.3621056946,374,186.06923762277353,2026-02-23 13:29:00,Close_Next_Day_EOD,SHORT,-10.788494376105177,2026-02-23 08:58:00,Stop_Loss,SHORT
2026-W09,27004518.01310378,701.3321202459678,23634564.740194317,552,72.55517360856561,2026-03-04 09:33:00,Take_Profit,SHORT,-16.509600917016492,2026-03-04 09:43:00,Stop_Loss,SHORT
2026-W10,47887940.23343366,77.3330677859028,20883422.220329877,547,44.7333974224885,2026-03-10 09:03:00,Take_Profit,SHORT,-25.804164003062635,2026-03-09 09:01:00,Stop_Loss,SHORT
2026-W11,64341188.039925106,34.35781060176895,16453247.80649145,480,40.252512583207334,2026-03-16 09:33:00,Trailing_Stop,SHORT,-16.272787982287053,2026-03-16 08:52:00,Stop_Loss,SHORT
2026-W12,89738086.82195917,39.4722254215678,25396898.78203406,532,68.2045677746322,2026-03-23 13:28:00,Close_Next_Day_EOD,SHORT,-16.03425090724637,2026-03-24 09:44:00,Stop_Loss,SHORT
2026-W13,107272338.1894374,19.539363929460947,17534251.367478237,400,59.54291168224224,2026-04-02 09:32:00,Take_Profit,SHORT,-62.36961275893531,2026-03-30 13:29:00,Close_Next_Day_EOD,SHORT
2026-W14,131150953.88355045,22.259807231892946,23878615.694113046,351,376.399376080774,2026-04-07 13:29:00,Close_Next_Day_EOD,SHORT,-11.750135571323863,2026-04-07 09:00:00,Stop_Loss,SHORT
2026-W15,141037089.09354827,7.537981933990174,9886135.209997818,467,23.431111675521564,2026-04-16 12:28:00,Take_Profit,SHORT,-9.83545056614251,2026-04-13 08:59:00,Stop_Loss,SHORT
2026-W16,174307304.80891985,23.589692561864936,33270215.71537158,516,85.49981893707704,2026-04-20 13:28:00,Close_Next_Day_EOD,SHORT,-18.5748760457268,2026-04-23 10:33:00,Stop_Loss,SHORT
2026-W17,195274173.22591686,12.028680289665104,20966868.416997015,446,53.83153517846946,2026-04-30 04:59:00,Trailing_Stop,SHORT,-31.80103588527204,2026-04-27 13:28:00,Close_Next_Day_EOD,SHORT
2026-W18,212652253.26215944,8.899323320210657,17378080.036242574,521,56.09300398625191,2026-05-06 10:11:00,Take_Profit,SHORT,-11.034990279056668,2026-05-04 09:21:00,Stop_Loss,SHORT
2026-W19,227970677.00291,7.203508782888782,15318423.740750551,556,37.18624613887282,2026-05-11 16:59:00,Trailing_Stop,SHORT,-11.154242967084347,2026-05-12 09:41:00,Stop_Loss,SHORT
2026-W20,242733917.87574244,6.475938514076526,14763240.872832447,532,44.515981766548634,2026-05-18 09:07:00,Take_Profit,SHORT,-63.85643343353454,2026-05-18 13:27:00,Close_Next_Day_EOD,SHORT
2026-W21,278978680.3245028,14.931890345590018,36244762.44876039,554,52.83270128132893,2026-05-28 11:54:00,Take_Profit,SHORT,-15.51531514440093,2026-05-28 11:38:00,Stop_Loss,SHORT
2026-W22,302123820.81229544,8.296383243648085,23145140.48779261,587,46.98738326955376,2026-06-02 09:03:00,Take_Profit,SHORT,-15.453434488213302,2026-06-05 10:47:00,Stop_Loss,SHORT
2026-W23,315576322.5000482,4.452645161041638,13452501.687752783,117,63.608043343599455,2026-06-08 09:37:00,Trailing_Stop,SHORT,-22.62016981658802,2026-06-08 09:08:00,Stop_Loss,SHORT
