entry_time,exit_time,symbol,direction,entry_price,exit_price,pnl,ret,reason
2026-05-27 08:46:39,2026-05-27 08:55:50,TX420260544700P,SHORT,269.0,379.0,-22400.0,-0.4163568773234201,觸及權利金硬停損 (-50.0%)
2026-05-27 08:57:20,2026-05-27 08:58:51,TX420260544700P,SHORT,290.0,339.0,-7650.0,-0.17586206896551723,觸及權利金硬停損 (-50.0%)
2026-05-27 08:59:21,2026-05-27 09:01:39,TX420260544700P,SHORT,339.0,286.0,5100.0,0.1504424778761062,跌破動態追蹤停損點 (觸發價: 219.25)
2026-05-27 09:04:10,2026-05-27 09:21:51,TX420260545100C,LONG,373.0,34.0,-34100.0,-0.9142091152815014,觸及權利金硬停損 (-50.0%)
2026-05-27 09:21:51,2026-05-27 09:22:22,TX420260545100C,LONG,34.0,34.5,-1275.0,-0.04411764705882353,觸及權利金硬停損 (-50.0%)
2026-05-27 09:23:22,2026-05-27 09:26:24,TX420260545000P,SHORT,41.5,384.0,-241150.0,-8.301204819277109,觸及權利金硬停損 (-50.0%)
2026-05-27 09:42:03,2026-05-27 09:42:33,TX420260544800C,LONG,46.5,45.5,-150.0,-0.06451612903225806,觸及權利金硬停損 (-50.0%)
2026-05-27 09:42:33,2026-05-27 09:43:03,TX420260544800C,LONG,45.5,44.0,-175.0,-0.07692307692307693,觸及權利金硬停損 (-50.0%)
2026-05-27 09:43:03,2026-05-27 09:43:34,TX420260544800C,LONG,44.0,43.5,-125.0,-0.056818181818181816,觸及權利金硬停損 (-50.0%)
2026-05-27 09:44:04,2026-05-27 09:44:34,TX420260544800C,LONG,398.0,44.0,-17800.0,-0.8944723618090452,觸及權利金硬停損 (-50.0%)
2026-05-27 09:46:05,2026-05-27 09:46:36,TX420260544800C,LONG,40.5,43.5,50.0,0.024691358024691357,觸及權利金硬停利 (+250.0%)
2026-05-27 09:46:36,2026-05-27 09:47:06,TX420260544800C,LONG,43.5,34.0,-575.0,-0.26436781609195403,觸及權利金硬停損 (-50.0%)
2026-05-27 09:47:06,2026-05-27 09:47:36,TX420260544800C,LONG,34.0,36.0,0.0,0.0,觸及權利金硬停利 (+250.0%)
2026-05-27 09:47:36,2026-05-27 09:48:06,TX420260544800C,LONG,36.0,33.0,-250.0,-0.1388888888888889,觸及權利金硬停利 (+250.0%)
2026-05-27 09:48:06,2026-05-27 09:48:37,TX420260544800C,LONG,33.0,40.5,275.0,0.16666666666666666,觸及權利金硬停利 (+250.0%)
2026-05-27 09:48:37,2026-05-27 09:49:07,TX420260544800C,LONG,40.5,41.0,-75.0,-0.037037037037037035,觸及權利金硬停利 (+250.0%)
2026-05-27 09:50:38,2026-05-27 09:51:08,TX420260544800C,LONG,34.5,33.0,-175.0,-0.10144927536231885,觸及權利金硬停利 (+250.0%)
2026-05-27 09:51:08,2026-05-27 09:51:38,TX420260544800C,LONG,33.0,37.5,125.0,0.07575757575757576,觸及權利金硬停利 (+250.0%)
2026-05-27 09:51:38,2026-05-27 09:52:09,TX420260544800C,LONG,37.5,37.5,-100.0,-0.05333333333333334,觸及權利金硬停利 (+250.0%)
